Date,Open,High,Low,Close,Volume
3/4/57,44.06,44.06,44.06,44.06,1050000
3/5/57,44.22,44.22,44.22,44.22,1033333
3/6/57,44.23,44.23,44.23,44.23,1022222
3/7/57,44.21,44.21,44.21,44.21,1016667
3/8/57,44.07,44.07,44.07,44.07,905556
3/11/57,43.78,43.78,43.78,43.78,916667
3/12/57,43.75,43.75,43.75,43.75,888889
3/13/57,44.04,44.04,44.04,44.04,1022222
3/14/57,44.07,44.07,44.07,44.07,877778
3/15/57,44.05,44.05,44.05,44.05,888889
3/18/57,43.85,43.85,43.85,43.85,805556
3/19/57,44.04,44.04,44.04,44.04,855556
3/20/57,44.1,44.1,44.1,44.1,1016667
3/21/57,44.11,44.11,44.11,44.11,905556
3/22/57,44.06,44.06,44.06,44.06,894444
3/25/57,43.88,43.88,43.88,43.88,883333
3/26/57,43.91,43.91,43.91,43.91,922222
3/27/57,44.09,44.09,44.09,44.09,950000
3/28/57,44.18,44.18,44.18,44.18,1072222
3/29/57,44.11,44.11,44.11,44.11,916667
4/1/57,44.14,44.14,44.14,44.14,900000
4/2/57,44.42,44.42,44.42,44.42,1277778
4/3/57,44.54,44.54,44.54,44.54,1200000
4/4/57,44.44,44.44,44.44,44.44,1011111
4/5/57,44.49,44.49,44.49,44.49,1016667
4/8/57,44.39,44.39,44.39,44.39,1083333
4/9/57,44.79,44.79,44.79,44.79,1333333
4/10/57,44.98,44.98,44.98,44.98,1622222
4/11/57,44.98,44.98,44.98,44.98,1305556
4/12/57,44.98,44.98,44.98,44.98,1316667
4/15/57,44.95,44.95,44.95,44.95,1116667
4/16/57,45.02,45.02,45.02,45.02,1050000
4/17/57,45.08,45.08,45.08,45.08,1272222
4/18/57,45.41,45.41,45.41,45.41,1377778
4/22/57,45.48,45.48,45.48,45.48,1422222
4/23/57,45.65,45.65,45.65,45.65,1577778
4/24/57,45.72,45.72,45.72,45.72,1661111
4/25/57,45.56,45.56,45.56,45.56,1466667
4/26/57,45.5,45.5,45.5,45.5,1322222
4/29/57,45.73,45.73,45.73,45.73,1272222
4/30/57,45.74,45.74,45.74,45.74,1222222
5/1/57,46.02,46.02,46.02,46.02,1283333
5/2/57,46.39,46.39,46.39,46.39,1588889
5/3/57,46.34,46.34,46.34,46.34,1327778
5/6/57,46.27,46.27,46.27,46.27,1227778
5/7/57,46.13,46.13,46.13,46.13,1277778
5/8/57,46.31,46.31,46.31,46.31,1438889
5/9/57,46.36,46.36,46.36,46.36,1400000
5/10/57,46.59,46.59,46.59,46.59,1350000
5/13/57,46.88,46.88,46.88,46.88,1511111
5/14/57,46.67,46.67,46.67,46.67,1433333
5/15/57,46.83,46.83,46.83,46.83,1438889
5/16/57,47.02,47.02,47.02,47.02,1494444
5/17/57,47.15,47.15,47.15,47.15,1394444
5/20/57,47.35,47.35,47.35,47.35,1277778
5/21/57,47.33,47.33,47.33,47.33,1316667
5/22/57,47.14,47.14,47.14,47.14,1144444
5/23/57,47.15,47.15,47.15,47.15,1172222
5/24/57,47.21,47.21,47.21,47.21,1300000
5/27/57,46.78,46.78,46.78,46.78,1272222
5/28/57,46.69,46.69,46.69,46.69,1150000
5/29/57,47.11,47.11,47.11,47.11,1261111
5/31/57,47.43,47.43,47.43,47.43,1138889
6/3/57,47.37,47.37,47.37,47.37,1138889
6/4/57,47.28,47.28,47.28,47.28,1222222
6/5/57,47.27,47.27,47.27,47.27,1077778
6/6/57,47.8,47.8,47.8,47.8,1277778
6/7/57,47.85,47.85,47.85,47.85,1322222
6/10/57,47.9,47.9,47.9,47.9,1138889
6/11/57,47.94,47.94,47.94,47.94,1583333
6/12/57,48.05,48.05,48.05,48.05,1444444
6/13/57,48.14,48.14,48.14,48.14,1461111
6/14/57,48.15,48.15,48.15,48.15,1161111
6/17/57,48.24,48.24,48.24,48.24,1233333
6/18/57,48.04,48.04,48.04,48.04,1355556
6/19/57,47.72,47.72,47.72,47.72,1233333
6/20/57,47.43,47.43,47.43,47.43,1138889
6/21/57,47.15,47.15,47.15,47.15,1094444
6/24/57,46.78,46.78,46.78,46.78,1133333
6/25/57,47.15,47.15,47.15,47.15,1111111
6/26/57,47.09,47.09,47.09,47.09,1038889
6/27/57,47.26,47.26,47.26,47.26,1000000
6/28/57,47.37,47.37,47.37,47.37,983333
7/1/57,47.43,47.43,47.43,47.43,1022222
7/2/57,47.9,47.9,47.9,47.9,1361111
7/3/57,48.46,48.46,48.46,48.46,1511111
7/5/57,48.69,48.69,48.69,48.69,1244444
7/8/57,48.9,48.9,48.9,48.9,1577778
7/9/57,48.9,48.9,48.9,48.9,1361111
7/10/57,49,49,49,49,1600000
7/11/57,48.86,48.86,48.86,48.86,1572222
7/12/57,49.08,49.08,49.08,49.08,1244444
7/15/57,49.13,49.13,49.13,49.13,1377778
7/16/57,48.88,48.88,48.88,48.88,1394444
7/17/57,48.58,48.58,48.58,48.58,1144444
7/18/57,48.53,48.53,48.53,48.53,1183333
7/19/57,48.58,48.58,48.58,48.58,1072222
7/22/57,48.47,48.47,48.47,48.47,1083333
7/23/57,48.56,48.56,48.56,48.56,1022222
7/24/57,48.61,48.61,48.61,48.61,961111
7/25/57,48.61,48.61,48.61,48.61,1000000
7/26/57,48.45,48.45,48.45,48.45,950000
7/29/57,47.92,47.92,47.92,47.92,1105556
7/30/57,47.92,47.92,47.92,47.92,988889
7/31/57,47.91,47.91,47.91,47.91,1016667
8/1/57,47.79,47.79,47.79,47.79,922222
8/2/57,47.68,47.68,47.68,47.68,894444
8/5/57,47.26,47.26,47.26,47.26,994444
8/6/57,46.67,46.67,46.67,46.67,1061111
8/7/57,47.03,47.03,47.03,47.03,1366667
8/8/57,46.9,46.9,46.9,46.9,938889
8/9/57,46.92,46.92,46.92,46.92,872222
8/12/57,46.33,46.33,46.33,46.33,916667
8/13/57,46.3,46.3,46.3,46.3,877778
